pid,latitude,longitude,height
3m8ox5tl8w,51.129738,16.993702,124.2
3m8ox5tU5y,51.12964,16.993946,122.7
3m8ox5tl90,51.12976,16.993902,122.4
3m8ox5tU5z,51.129646,16.994013,123.0
3m8ox5uJEu,51.129932,16.99321,121.6
3m8ox5tU61,51.12966,16.994116,122.1
3m8ox5u2C2,51.129883,16.993855,122.0
3m8ox5tl95,51.129795,16.994183,121.5
3m8ox5u2C4,51.129906,16.994047,125.3
3m8ox5uaHw,51.130054,16.993176,121.9
3m8ox5u2C7,51.12992,16.994162,122.3
3m8ox5u2C8,51.12993,16.994226,122.5
3m8ox5uaI6,51.13013,16.99379,122.5
3m8ox5uJF8,51.13004,16.994078,123.0
3m8ox5uJF9,51.130043,16.99413,122.6
3m8ox5uJFB,51.130054,16.994232,121.8
3m8ox5rYka,51.12871,16.99366,124.6
3m8ox5rYkZ,51.128704,16.993603,124.7
3m8ox5v8O0,51.130302,16.9931,121.9
3m8ox5urLB,51.130272,16.993912,121.6
3m8ox5urLC,51.13028,16.993984,122.2
3m8ox5sNtM,51.12893,16.992296,122.4
3m8ox5s6qM,51.12882,16.992449,122.0
3m8ox5v8OC,51.13039,16.99382,122.0
3m8ox5rYkP,51.128624,16.992949,122.2
3m8ox5rHhY,51.128586,16.99367,123.3
3m8ox5rHha,51.128597,16.993761,122.0
3m8ox5sNtL,51.12892,16.992231,122.1
3m8ox5rYkO,51.128616,16.992882,121.9
3m8ox5s6qL,51.12881,16.99238,121.7
3m8ox5v8OF,51.13041,16.994005,122.2
3m8ox5s6qK,51.128803,16.992325,121.8
3m8ox5v8OG,51.130417,16.994043,121.2
3m8ox5rpnK,51.128696,16.992489,122.1
3m8ox5sewK,51.12902,16.992016,122.2
3m8ox5vPRD,51.1305,16.993704,121.1
3m8ox5s6qJ,51.128796,16.992266,121.8
3m8ox5rYkL,51.128593,16.992697,121.6
3m8ox5sNtJ,51.128902,16.992092,121.2
3m8ox5vPRE,51.130512,16.99378,121.9
3m8ox5rpnJ,51.12869,16.992413,121.3
3m8ox5rYkK,51.128586,16.992632,121.4
3m8ox5sewJ,51.129013,16.991953,122.1
3m8ox5vPRF,51.13052,16.993841,121.9
3m8ox5r0eW,51.128464,16.99371,123.3
3m8ox5sNtI,51.1289,16.992043,121.6
3m8ox5r0eY,51.128475,16.993816,122.8
3m8ox5r0eV,51.128456,16.993677,124.6
3m8ox5rpnI,51.12868,16.992353,121.4
3m8ox5vPRG,51.130527,16.993902,122.0
3m8ox5rYkJ,51.12858,16.992561,120.9
3m8ox5rHhL,51.128487,16.992859,121.8
3m8ox5rHhK,51.12848,16.99281,122.3
3m8ox5vPRI,51.130543,16.994017,121.8
3m8ox5rHhJ,51.12847,16.992735,121.6
3m8ox5vPRJ,51.130547,16.994078,121.8
3m8ox5vgUF,51.130627,16.993673,121.5
3m8ox5rHhI,51.128464,16.992683,122.1
3m8ox5vPRK,51.130558,16.994148,122.3
3m8ox5vgUH,51.130642,16.993803,121.9
3m8ox5vPRL,51.13056,16.994196,121.6
3m8ox5vPQl,51.130302,16.99205,122.3
3m8ox5vgUI,51.13065,16.993864,122.0
3m8ox5vPRM,51.13057,16.994246,121.2
3m8ox5qjbW,51.12835,16.993845,122.3
3m8ox5r0eJ,51.12836,16.99289,121.5
3m8ox5qjbN,51.12828,16.993279,121.0
3m8ox5r0eH,51.128345,16.992764,121.2
3m8ox5qjbM,51.128277,16.993225,121.4
3m8ox5r0eG,51.12834,16.99271,121.5
3m8ox5vgTo,51.130432,16.992073,122.3
3m8ox5vgTn,51.130424,16.992018,122.6
3m8ox5vxXJ,51.130764,16.993755,121.5
3m8ox5qjbH,51.128242,16.992962,123.0
3m8ox5qjbG,51.128235,16.992876,121.8
3m8ox5wEa9,51.130802,16.993013,122.2
3m8ox5vxWt,51.13057,16.99217,120.3
3m8ox5qSYM,51.128162,16.993341,119.4
3m8ox5qSYL,51.12816,16.993313,120.8
3m8ox5qSYJ,51.128147,16.993225,122.3
3m8ox5qjbD,51.128212,16.992695,121.8
3m8ox5wEaK,51.130882,16.993677,122.4
3m8ox5wEaM,51.130894,16.99378,121.7
3m8ox5qSYF,51.128117,16.992981,122.2
3m8ox5qBVM,51.128063,16.99357,122.7
3m8ox5qBVN,51.128063,16.993591,120.9
3m8ox5qBVX,51.128136,16.99416,119.4
3m8ox5qSYC,51.128098,16.992805,122.3
3m8ox5qBVK,51.128044,16.99342,121.3
3m8ox5qBVJ,51.128033,16.993336,120.1
3m8ox5qSYB,51.12809,16.99276,122.9
3m8ox5qBVH,51.12803,16.99328,123.2
3m8ox5qBVF,51.12801,16.99313,121.7
3m8ox5qBVE,51.128002,16.99307,121.7
3m8ox5qBVD,51.127995,16.993011,121.8
3m8ox5qBVC,51.127987,16.992962,122.2
3m8ox5puSO,51.12798,16.99392,126.0
3m8ox5puSL,51.12797,16.993858,131.5
3m8ox5puSM,51.127975,16.993893,130.3
3m8ox5puSP,51.127987,16.993994,126.6
3m8ox5puSJ,51.127956,16.993744,131.7
3m8ox5puSK,51.127953,16.993706,127.1
3m8ox5qBVA,51.12798,16.992872,123.6
3m8ox5puSI,51.12794,16.993608,128.2
3m8ox5puST,51.128002,16.994137,122.2
3m8ox5wmgC,51.131035,16.99284,120.6
3m8ox5qBV9,51.12797,16.992825,124.2
3m8ox5puSW,51.12802,16.99429,120.9
3m8ox5puSH,51.127914,16.993395,121.1
3m8ox5wVcu,51.130795,16.99193,121.0
3m8ox5puSG,51.127907,16.993338,121.2
3m8ox5puSB,51.127872,16.993061,122.3
3m8ox5puS9,51.127857,16.992937,122.1
3m8ox5pdPL,51.127853,16.993938,127.8
3m8ox5pdPJ,51.127842,16.993853,129.4
3m8ox5pdPN,51.127865,16.994041,127.0
3m8ox5pdPI,51.127834,16.993784,129.0
3m8ox5x3jD,51.13115,16.992739,120.4
3m8ox5pdPT,51.127895,16.994299,122.3
3m8ox5pdPU,51.127903,16.994345,121.6
3m8ox5wmfv,51.130917,16.991865,122.6
3m8ox5pdPD,51.12778,16.993341,122.4
3m8ox5urKJ,51.129883,16.990711,123.3
3m8ox5x3jT,51.131268,16.993717,121.3
3m8ox5qjaw,51.12809,16.991707,123.2
3m8ox5pMML,51.12773,16.993992,122.9
3m8ox5pMMO,51.12775,16.994143,121.6
3m8ox5xKmH,51.13129,16.992853,122.0
3m8ox5xKmI,51.131298,16.992907,121.7
3m8ox5xKmG,51.131287,16.992807,122.6
3m8ox5pMMR,51.127773,16.99434,122.4
3m8ox5pMMD,51.12768,16.993587,126.5
3m8ox5x3jX,51.1313,16.993988,122.8
3m8ox5pMMC,51.127674,16.993536,126.8
3m8ox5qSXv,51.12797,16.991772,121.7
3m8ox5qjas,51.12807,16.991528,126.0
3m8ox5pMM9,51.12764,16.993233,121.2
3m8ox5qSXu,51.127968,16.99173,122.5
3m8ox5pMM7,51.12763,16.993132,122.0
3m8ox5qjar,51.128063,16.991484,126.7
3m8ox5qSXr,51.127953,16.991615,125.5
3m8ox5sexX,51.129566,16.996485,121.1
3m8ox5p5JJ,51.127605,16.994001,121.6
